1: Kareem Abdul-Jabbar
2: Michael Jordan
3: LeBron James
4: Tim Duncan
5: Kobe Bryant
6: Julius Erving
7: Shaquille O'Neal
8: Bill Russell
9: Wilt Chamberlain
10: Magic Johnson
11: Hakeem Olajuwon
12: Karl Malone
13: Larry Bird
14: Kevin Garnett
15: Dirk Nowitzki
16: Jerry West
17: Bob Pettit
18: John Havlicek
19: Bob Cousy
20: David Robinson
21: Oscar Robertson
22: Charles Barkley
23: Rick Barry
24: Kevin Durant
25: John Stockton
26: Dwyane Wade
27: Gary Payton
28: Dwight Howard
29: Elgin Baylor
30: George Gervin
31: Steve Nash
32: Allen Iverson
33: Artis Gilmore
34: Chris Paul
35: Stephen Curry
36: Russell Westbrook
37: Willis Reed
38: Jason Kidd
39: Elvin Hayes
40: Isiah Thomas
41: Mel Daniels
42: Scottie Pippen
43: Hal Greer
44: Dikembe Mutombo
45: Anthony Davis
46: Dominique Wilkins
47: Ben Wallace
48: Carmelo Anthony
49: Bill Sharman
50: Paul Pierce
51: Walt Frazier
52: Kawhi Leonard
53: Clyde Drexler
54: Dave Cowens
55: Tracy McGrady
56: Sidney Moncrief
57: George McGinnis
58: Paul George
59: James Harden
60: Paul Arizin
61: Draymond Green
62: Spencer Haywood
63: Billy Cunningham
64: Yao Ming
65: Blake Griffin
66: Joe Dumars
67: Jerry Lucas
68: Dan Issel
69: Grant Hill
70: Tony Parker
71: Alonzo Mourning
72: Damian Lillard
73: Mitch Richmond
74: Ray Allen
75: Dennis Johnson
76: Tiny Archibald
77: LaMarcus Aldridge
78: Amar'e Stoudemire
79: Jimmy Butler
80: Louie Dampier
81: Chris Bosh
82: Alex English
83: Chris Webber
84: James Worthy
85: Chauncey Billups
86: Jo Jo White
87: Robert Parish
88: Wes Unseld
89: Pau Gasol
90: Dave DeBusschere
91: Tom Heinsohn
92: Giannis Antetokounmpo
93: Bob McAdoo
94: Dave Bing
95: Larry Foust
96: Bill Walton
97: Vince Carter
98: Klay Thompson
99: Kevin McHale
100: Chris Mullin
101: Mack Calvin
102: Donnie Freeman
103: Paul Westphal
104: Pete Maravich
105: Jimmy Jones
106: Richie Guerin
107: Dennis Rodman
108: Jermaine O'Neal
109: Shawn Kemp
110: Kyrie Irving
111: Kevin Johnson
112: Bernard King
113: Mark Price
114: John Wall
115: DeMarcus Cousins
116: Ralph Simpson
117: Sam Jones
118: Marques Johnson
119: Lenny Wilkens
120: Reggie Miller
121: Adrian Dantley
122: Alvin Robertson
123: Walter Davis
124: George Yardley
125: Jack Twyman
126: Nate Thurmond
127: Cliff Hagan
128: Derrick Rose
129: Kevin Love
130: Joe Johnson
131: DeMar DeRozan
132: Marc Gasol
133: Anfernee Hardaway
134: Larry Jones
135: Bob Lanier
136: Zelmo Beaty
137: Charlie Scott
138: Gene Shue
139: Jack Sikma
140: Lou Hudson
141: Larry Costello
142: Bailey Howell
143: Maurice Lucas
144: Norm Van Lier
145: Maurice Stokes
146: Chet Walker
147: Gilbert Arenas
148: Shawn Marion
149: Tom Chambers
150: Rajon Rondo
151: Al Horford
152: Bob Love
153: Vin Baker
154: Ron Boone
155: Willie Wise
156: Gail Goodrich
157: Brad Daugherty
158: Tom Gola
159: DeAndre Jordan
160: Andre Drummond
161: Joe Caldwell
162: Dan Roundfield
163: Victor Oladipo
164: Joakim Noah
165: Buck Williams
166: Brandon Roy
167: Maurice Cheeks
168: Red Robbins
169: Deron Williams
170: John Beasley
171: Doug Moe
172: Latrell Sprewell
173: Bob Dandridge
174: Bob Netolicky
175: Warren Jabali
176: Earl Monroe
177: Don Buse
178: Rudy LaRusso
179: Ralph Sampson
180: Dick Garmaker
181: Kyle Lowry
182: Mark Eaton
183: Otis Birdsong
184: Clyde Lovellette
185: Eddie Jones
186: Isaiah Thomas
187: Metta World Peace
188: Rudy Tomjanovich
189: Don Ohl
190: Larry Kenon
191: Wayne Embry
192: Terry Cummings
193: Swen Nater
194: Gus Williams
195: Manu Ginobili
196: Stephon Marbury
197: James Silas
198: Tyson Chandler
199: Micheal Ray Richardson
200: Rudy Gobert
201: Peja Stojakovic
202: Paul Millsap
203: Bill Melchionni
204: Detlef Schrempf
205: Larry Brown
206: Brian Taylor
207: Doug Collins
208: Michael Cooper
209: Bill Laimbeer
210: Mel Hutchins
211: Sidney Wicks
212: Jerry Sloan
213: Rolando Blackman
214: Walt Bellamy
